person_id,publication_id,author_position,raw_author_name,is_corresponding,sort_order
A5019087806,W2180229411,middle,Robert Oeffner,0,12
A5068323278,W2180229411,middle,Randy J. Read,0,13
A5035236781,W2180229411,middle,David C. Richardson,0,14
A5046412779,W2180229411,middle,Jane S. Richardson,0,15
A5090015351,W2180229411,middle,Thomas C. Terwilliger,0,16
A5081770773,W2180229411,last,Peter H. Zwart,0,17
A5013181401,W4248872320,first,Wolfgang Kabsch,1,0
A5071138931,W2124026197,first,P. Emsley,1,0
A5073942998,W2124026197,middle,B. Lohkamp,0,1
A5063283743,W2124026197,middle,W. G. Scott,0,2
A5018808577,W2124026197,last,K. Cowtan,0,3
A5071138931,W2144081223,first,Paul Emsley,1,0
A5018808577,W2144081223,last,Kevin Cowtan,0,1
A5056911622,W1995017064,first,A. T. Brünger,1,0
A5027915011,W1995017064,middle,P. D. Adams,0,1
A5024727980,W1995017064,middle,G. M. Clore,0,2
A5090802246,W1995017064,middle,W. L. DeLano,0,3
A5045574506,W1995017064,middle,P. Gros,0,4
A5110342059,W1995017064,middle,R. W. Grosse-Kunstleve,0,5
A5011813946,W1995017064,middle,J. S. Jiang,0,6
A5046828897,W1995017064,middle,J. Kuszewski,0,7
A5024276029,W1995017064,middle,M. Nilges,0,8
A5042956432,W1995017064,middle,N. S. Pannu,0,9
A5068323278,W1995017064,middle,R. J. Read,0,10
A5056334757,W1995017064,middle,L. M. Rice,0,11
A5033410644,W1995017064,middle,T. Simonson,0,12
A5057042667,W1995017064,last,G. L. Warren,0,13
A5097852737,W2001641653,first,"Collaborative Computational Project, Number 4",1,0
A5021122229,W2366536035,first,David N. Louis,1,0
A5052983963,W2366536035,middle,Arie Perry,0,1
A5014129073,W2366536035,middle,Guido Reifenberger,0,2
A5052657395,W2366536035,middle,Andreas von Deimling,0,3
A5111547791,W2366536035,middle,Dominique Figarella-Branger,0,4
A5072507966,W2366536035,middle,Webster K. Cavenee,0,5
A5103530823,W2366536035,middle,Hiroko Ohgaki,0,6
A5111874068,W2366536035,middle,Otmar D. Wiestler,0,7
A5017135203,W2366536035,middle,Paul Kleihues,0,8
A5071632296,W2366536035,last,David W. Ellison,0,9
A5016965073,W2052742260,first,H. Braak,1,0
A5109411364,W2052742260,last,E. Braak,0,1
A5007379298,W2166281097,first,A. S. Zigmond,0,0
A5088498607,W2166281097,last,R. P. Snaith,1,1
A5056249088,W2140918013,first,Harry C. Triandis,1,0
A5056276177,W2140918013,last,Geert Hofstede,0,1
A5066540447,W2108795964,first,Wesley M. Cohen,1,0
A5030291124,W2108795964,last,Daniel A. Levinthal,0,1
A5040688597,W2135732933,first,Christopher A Lipinski,1,0
A5072778946,W2135732933,middle,Franco Lombardo,0,1
A5050837683,W2135732933,middle,Beryl W Dominy,0,2
A5035781073,W2135732933,last,Paul J Feeney,0,3
A5091500375,W2061438946,first,Seyedali Mirjalili,1,0
A5071437793,W2061438946,middle,Seyed Mohammad Mirjalili,0,1
A5063313173,W2061438946,last,Andrew Lewis,0,2
A5055251050,W2061977616,first,Jay B. Barney,1,0
A5016858660,W1993663609,first,Paul J. DiMaggio,1,0
A5051910920,W1993663609,last,Walter W. Powell,0,1
A5110449310,W2069687969,first,H. F. Robinson,1,0
A5029882914,W1974097079,first,F. R. Menter,1,0
A5074628106,W2115017507,first,Guy M. McKhann,1,0
A5059027860,W2115017507,middle,David S. Knopman,0,1
A5088503502,W2115017507,middle,Howard Chertkow,0,2
A5068688487,W2115017507,middle,Bradley T. Hyman,0,3
A5005099850,W2115017507,middle,Clifford R. Jack,0,4
A5078760561,W2115017507,middle,Claudia H. Kawas,0,5
A5036841670,W2115017507,middle,William E. Klunk,0,6
A5000644127,W2115017507,middle,Walter J. Koroshetz,0,7
A5068971185,W2115017507,middle,Jennifer J. Manly,0,8
A5077632970,W2115017507,middle,Richard Mayeux,0,9
A5037912275,W2115017507,middle,Richard C. Mohs,0,10
A5063630764,W2115017507,middle,John C. Morris,0,11
A5032450718,W2115017507,middle,Martin N. Rossor,0,12
A5025870220,W2115017507,middle,Philip Scheltens,0,13
A5027031712,W2115017507,middle,Maria C. Carrillo,0,14
A5043913986,W2115017507,middle,Bill Thies,0,15
A5002754020,W2115017507,middle,Sandra Weintraub,0,16
A5012170843,W2115017507,last,Creighton H. Phelps,0,17
A5068490503,W3121131820,first,Michael C. Jensen,1,0
A5058480606,W2136931384,first,A. W. Bauer,1,0
A5110382264,W2136931384,middle,W. M. M. Kirby,0,1
A5110023640,W2136931384,middle,J. C. Sherris,0,2
A5071266965,W2136931384,last,M. Turck,0,3
A5088548433,W2114004260,first,V. L. Singleton,1,0
A5052851289,W2114004260,last,Joseph A. Rossi,0,1
A5041071727,W2256756668,first,L.J. REED,1,0
A5032767751,W2256756668,last,H. MUENCH,0,1
A5068097121,W1631356911,first,Michael A. Nielsen,1,0
A5103046966,W1631356911,middle,Isaac Chuang,0,1
A5031023857,W1631356911,last,Lov K. Grover,0,2
A5109952461,W2078206416,first,Benoit B. Mandelbrot,1,0
A5032489073,W2078206416,last,John A. Wheeler,0,1
A5018694596,W2120062331,first,Donald A. McQuarrie,1,0
A5027606126,W1974085346,first,B. D. Cullity,1,0
W1974085346-person-1,W1974085346,last,John W. Weymouth,0,1
A5111445595,W2056722718,first,Charles Kittel,1,0
A5100703985,W2056722718,last,H. Y. Fan,0,1
A5049529015,W2116839388,first,Vincent J Felitti,1,0
A5112456413,W2116839388,middle,Robert F Anda,0,1
A5047835625,W2116839388,middle,Dale Nordenberg,0,2
A5110858271,W2116839388,middle,David F Williamson,0,3
A5031499097,W2116839388,middle,Alison M Spitz,0,4
A5112481881,W2116839388,middle,Valerie Edwards,0,5
A5047435579,W2116839388,middle,Mary P Koss,0,6
A5109569377,W2116839388,last,James S Marks,0,7
A5083312029,W2127951128,first,Jørgen Vestbo,1,0
A5064137195,W2127951128,middle,Suzanne S. Hurd,0,1
A5054165025,W2127951128,middle,Alvar G. Agustí,0,2
A5000958944,W2127951128,middle,Paul W. Jones,0,3
A5059684830,W2127951128,middle,Claus Vogelmeier,0,4
A5052712328,W2127951128,middle,Antonio Anzueto,0,5
A5030258071,W2127951128,middle,Peter J. Barnes,0,6
A5010278392,W2127951128,middle,Leonardo M. Fabbri,0,7
A5100767595,W2127951128,middle,Fernando J. Martinez,0,8
A5081243390,W2127951128,middle,Masaharu Nishimura,0,9
A5010056224,W2127951128,middle,Robert A. Stockley,0,10
A5042188739,W2127951128,middle,Don D. Sin,0,11
A5110223271,W2127951128,last,Roberto Rodriguez-Roisin,0,12
A5104047850,W3123534837,first,James S. Coleman,1,0
A5035549347,W3022339544,first,Mark Granovetter,1,0
A5087738695,W1965278510,first,John W. Meyer,1,0
A5054656780,W1965278510,last,Brian Rowan,0,1
A5035549347,W2109469951,first,Mark S. Granovetter,1,0
A5086016562,W2144846366,first,"Garcia, Stephan",1,0
A5049983178,W2144846366,last,"Miller, Steven",0,1
A5118904555,W4247665917,first,Annette Lolk,1,0
A5000364987,W4281687410,first,American Psychiatric Association,1,0
A5001390698,W4242883546,first,Richard M. Ryan,1,0
A5004154542,W4242883546,last,Edward L. Deci,0,1
A5001390698,W2141846678,first,Richard M. Ryan,1,0
A5004154542,W2141846678,last,Edward L. Deci,0,1
A5016858660,W3123282572,first,Paul J. DiMaggio,1,0
A5051910920,W3123282572,last,Walter W. Powell,0,1
A5009215192,W2073506374,first,George Simpson,1,0
A5084562655,W2073506374,middle,Peter L. Berger,0,1
A5078010687,W2073506374,last,Thomas Luckmann,0,2
A5097854457,W2044950274,first,Kaspar D. Naegele,1,0
A5057584685,W2044950274,last,Erving Goffman,0,1
A5022664477,W2075435443,first,J. Murphy,1,0
A5107173826,W2075435443,last,J.P. Riley,0,1
A5056910052,W2165292984,first,Iris F.F. Benzie,1,0
A5059126202,W2165292984,last,J.J. Strain,0,1
A5076080098,W2314225431,first,Prescott Deininger,1,0
W1856219842-person-0,W1856219842,first,Water Environment Federation.,1,0
W1856219842-person-1,W1856219842,middle,Water Pollution Control Federation.,0,1
W1856219842-person-2,W1856219842,middle,American Water Works Association.,0,2
W1856219842-person-3,W1856219842,last,American Public Health Association.,0,3
A5070962272,W4294216491,first,Piotr Chomczynski,1,0
A5073693721,W4294216491,last,Nicoletta Sacchi,0,1
W2134812217-person-0,W2134812217,first,P CHOMZYNSKI,1,0
A5113229683,W4232534952,first,P.K. Smith,1,0
A5027468826,W4232534952,middle,R.I. Krohn,0,1
A5050964428,W4232534952,middle,G.T. Hermanson,0,2
A5056734735,W4232534952,middle,A.K. Mallia,0,3
A5075336811,W4232534952,middle,F.H. Gartner,0,4
A5011919688,W4232534952,middle,M.D. Provenzano,0,5
A5056017066,W4232534952,middle,E.K. Fujimoto,0,6
A5075922650,W4232534952,middle,N.M. Goeke,0,7
A5041746028,W4232534952,middle,B.J. Olson,0,8
A5008911577,W4232534952,last,D.C. Klenk,0,9
A5074378026,W2014669590,first,Andrew P. Feinberg,1,0
A5072858943,W2014669590,last,Bert Vogelstein,0,1
A5113449403,W1983310681,first,Hiroshi Ohkawa,1,0
A5113732540,W1983310681,middle,Nobuko Ohishi,0,1
A5108209336,W1983310681,last,Kunio Yagi,0,2
A5047160510,W2128635872,first,M Bradford,1,0
A5021181975,W4293247451,first,Marion M. Bradford,1,0
A5064251359,W2109606373,first,Abraham. Savitzky,1,0
A5108411636,W2109606373,last,M. J. E. Golay,0,1
A5112135752,W2009674410,first,G. L. Miller,1,0
A5110084601,W1968834637,first,Michel. DuBois,1,0
A5032143520,W1968834637,middle,K. A. Gilles,0,1
A5018540195,W1968834637,middle,J. K. Hamilton,0,2
A5050231739,W1968834637,middle,P. A. Rebers,0,3
A5109983911,W1968834637,last,Fred. Smith,0,4
A5010952523,W593898368,first,Suharsimi Arikunto,1,0
A5027610285,W1584697775,first,Lev Vygotsky,1,0
A5074901391,W2891378911,first,Andrea C. Tricco,1,0
A5031902837,W2891378911,middle,Erin Lillie,0,1
A5032497384,W2891378911,middle,Wasifa Zarin,0,2
A5024431380,W2891378911,middle,Kelly K. O'Brien,0,3
A5065487003,W2891378911,middle,Heather Colquhoun,0,4
A5069537707,W2891378911,middle,Danielle Levac,0,5
A5068353058,W2891378911,middle,David Moher,0,6
A5055760362,W2891378911,middle,Micah D.J. Peters,0,7
A5085699502,W2891378911,middle,Tanya Horsley,0,8
A5111619792,W2891378911,middle,Laura Weeks,0,9
A5085697520,W2891378911,middle,Susanne Hempel,0,10
A5041615321,W2891378911,middle,Elie A. Akl,0,11
A5080252384,W2891378911,middle,Christine Chang,0,12
A5081964815,W2891378911,middle,Jessie McGowan,0,13
A5082927689,W2891378911,middle,Lesley Stewart,0,14
A5010229710,W2891378911,middle,Lisa Hartling,0,15
A5011923288,W2891378911,middle,Adrian Aldcroft,0,16
A5079953196,W2891378911,middle,Michael G. Wilson,0,17
A5001327852,W2891378911,middle,Chantelle Garritty,0,18
A5065626862,W2891378911,middle,Simon Lewin,0,19
A5068524232,W2891378911,middle,Christina M. Godfrey,0,20
A5087076550,W2891378911,middle,Marilyn T. Macdonald,0,21
A5083088424,W2891378911,middle,Etienne V. Langlois,0,22
A5058378544,W2891378911,middle,Karla Soares-Weiser,0,23
A5007855965,W2891378911,middle,Jo Moriarty,0,24
A5062080271,W2891378911,middle,Tammy Clifford,0,25
A5034889366,W2891378911,middle,Özge Tunçalp,0,26
A5007761401,W2891378911,last,Sharon E. Straus,0,27
A5032690087,W2155965977,first,Andrew S. Levey,1,0
A5111911596,W2155965977,middle,Lesley A. Stevens,0,1
A5101973849,W2155965977,middle,Christopher H. Schmid,0,2
A5100366781,W2155965977,middle,Yaping (Lucy) Zhang,0,3
A5103096187,W2155965977,middle,Alejandro F. Castro,0,4
A5016894949,W2155965977,middle,Harold I. Feldman,0,5
A5109934186,W2155965977,middle,John W. Kusek,0,6
A5044698181,W2155965977,middle,Paul Eggers,0,7
A5030690893,W2155965977,middle,Frederick Van Lente,0,8
A5016452405,W2155965977,middle,Tom Greene,0,9
A5047227825,W2155965977,last,Josef Coresh,0,10
A5068353058,W2005501262,first,David Moher,1,0
W2005501262-person-1,W2005501262,middle,Alessandro Liberati,0,1
W2005501262-person-2,W2005501262,middle,Jennifer Tetzlaff,0,2
W2005501262-person-3,W2005501262,middle,Douglas G. Altman,0,3
W2005501262-person-4,W2005501262,last,the PRISMA Group*,0,4
A5054799659,W2059796825,first,Erik von Elm,1,0
A5042962646,W2059796825,middle,Douglas G. Altman,0,1
A5077161809,W2059796825,middle,Matthias Egger,0,2
A5023436129,W2059796825,middle,Stuart J. Pocock,0,3
A5002375158,W2059796825,middle,Peter C. Gøtzsche,0,4
A5014844709,W2059796825,middle,Jan P. Vandenbroucke,0,5
W2059796825-person-6,W2059796825,last,for the STROBE Initiative,0,6
A5061186336,W2096998881,first,Daniel Dindo,1,0
A5063775633,W2096998881,middle,Nicolas Demartines,0,1
A5110080498,W2096998881,last,Pierre-Alain Clavien,0,2
A5110342669,W2111301002,first,Baruch J. Davis,1,0
A5089121489,W1983649348,first,George Scatchard,1,0
A5109276346,W2011303397,first,C S Holling,1,0
A5049045547,W2130354913,first,Miller McPherson,1,0
A5035210768,W2130354913,middle,Lynn Smith-Lovin,0,1
A5019654671,W2130354913,last,James M Cook,0,2
A5062762496,W2108718991,first,Patrick D. Schloss,1,0
A5111530938,W2108718991,middle,Sarah L. Westcott,0,1
A5011688695,W2108718991,middle,Thomas Ryabin,0,2
A5108506329,W2108718991,middle,Justine R. Hall,0,3
A5044355096,W2108718991,middle,Martin Hartmann,0,4
A5055917872,W2108718991,middle,Emily B. Hollister,0,5
A5017853443,W2108718991,middle,Ryan A. Lesniewski,0,6
A5085359279,W2108718991,middle,Brian B. Oakley,0,7
A5060754496,W2108718991,middle,Donovan H. Parks,0,8
A5026220637,W2108718991,middle,Courtney J. Robinson,0,9
A5072982028,W2108718991,middle,Jason W. Sahl,0,10
A5058558119,W2108718991,middle,Blaz Stres,0,11
A5037209090,W2108718991,middle,Gerhard G. Thallinger,0,12
A5112877973,W2108718991,middle,David J. Van Horn,0,13
A5042231087,W2108718991,last,Carolyn F. Weber,0,14
A5100417364,W2152885278,first,Qiong Wang,0,0
A5040654425,W2152885278,middle,George M. Garrity,0,1
A5041807449,W2152885278,middle,James M. Tiedje,0,2
A5104055957,W2152885278,last,James R. Cole,1,3
A5018563718,W2089876099,first,John Guckenheimer,1,0
A5053868357,W2089876099,last,Philip Holmes,0,1
A5074180547,W2112778345,first,Lenore Sawyer Radloff,1,0
A5109290855,W2006370393,first,George L. Ellman,1,0
A5057810294,W2118826874,first,Ronald C. Kessler,1,0
A5109837280,W2118826874,middle,Patricia Berglund,0,1
A5091746574,W2118826874,middle,Olga Demler,0,2
A5111028468,W2118826874,middle,Robert Jin,0,3
A5027210624,W2118826874,middle,Kathleen R. Merikangas,0,4
A5050152988,W2118826874,last,Ellen E. Walters,0,5
A5059319052,W2067495470,first,A. T. BECK,1,0
A5107836452,W2043705607,first,Robert L. Spitzer,1,0
A5049860225,W2043705607,middle,Kurt Kroenke,0,1
A5050843152,W2043705607,middle,Janet B. W. Williams,0,2
A5078610104,W2043705607,last,Bernd Löwe,0,3
A5113665373,W2152348310,first,Frank C. Arnett,1,0
A5016058561,W2152348310,middle,Steven M. Edworthy,0,1
A5056109933,W2152348310,middle,Daniel A. Bloch,0,2
A5057650486,W2152348310,middle,Dennis J. Mcshane,0,3
A5060176647,W2152348310,middle,James F. Fries,0,4
A5029196051,W2152348310,middle,Norman S. Cooper,0,5
A5108446594,W2152348310,middle,Louis A. Healey,0,6
A5110261421,W2152348310,middle,Stephen R. Kaplan,0,7
A5113697433,W2152348310,middle,Matthew H. Liang,0,8
A5040789268,W2152348310,middle,Harvinder S. Luthra,0,9
A5112247165,W2152348310,middle,Thomas A. Medsger,0,10
A5004692457,W2152348310,middle,Donald M. Mitchell,0,11
A5057841798,W2152348310,middle,David H. Neustadt,0,12
A5048310567,W2152348310,middle,Robert S. Pinals,0,13
A5110213768,W2152348310,middle,Jane G. Schaller,0,14
A5038322725,W2152348310,middle,John T. Sharp,0,15
A5111528130,W2152348310,middle,Ronald L. Wilder,0,16
A5008494496,W2152348310,last,Gene G. Hunder,0,17
W1485283179-person-0,W1485283179,first,"Massalski, Tadeusz B. 1926-",1,0
A5113855519,W1914972138,first,Priscilla Robinson,1,0
A5035299523,W2072500831,first,Franz Faul,1,0
A5041210487,W2072500831,middle,Edgar Erdfelder,0,1
A5000202082,W2072500831,middle,Axel Buchner,0,2
A5073193174,W2072500831,last,Albert-Georg Lang,0,3
A5066213576,W2038702827,first,Kristopher J. Preacher,1,0
A5075890029,W2038702827,last,Andrew F. Hayes,0,1
A5035299523,W2087484885,first,Franz Faul,1,0
A5041210487,W2087484885,middle,Edgar Erdfelder,0,1
A5056263250,W2087484885,middle,Albert-Georg Lang,0,2
A5000202082,W2087484885,last,Axel Buchner,0,3
A5066213576,W1995031937,first,Kristopher J. Preacher,1,0
A5075890029,W1995031937,last,Andrew F. Hayes,0,1
A5029232704,W2212401464,first,H.J. Eysenck,1,0
A5108520736,W1995875735,first,C. E. Shannon,1,0
A5024677155,W4294214983,first,Marry L. McHugh,1,0
A5103364748,W1513717105,first,EJ Wood,1,0
A5109290855,W1971048984,first,George L. Ellman,1,0
A5014930584,W1971048984,middle,K.Diane Courtney,0,1
A5053435230,W1971048984,middle,Valentino Andres,0,2
A5111535679,W1971048984,last,Robert M. Featherstone,0,3
A5003565243,W2060333964,first,John M. Chirgwin,1,0
A5109189964,W2060333964,middle,Alan E. Przybyla,0,1
A5038396804,W2060333964,middle,Raymond J. MacDonald,0,2
A5036382303,W2060333964,last,William J. Rutter,0,3
A5002901852,W2951912016,first,Shifu Chen,1,0
A5052814282,W2951912016,middle,Yanqing Zhou,0,1
A5037446400,W2951912016,middle,Yaru Chen,0,2
A5100755117,W2951912016,last,Jia Gu,0,3
A5100338825,W2789843538,first,Heng Li,1,0
A5022280742,W2134526812,first,Simon Anders,1,0
A5014255302,W2134526812,middle,Paul Theodor Pyl,0,1
A5029601108,W2134526812,last,Wolfgang Huber,0,2
A5088404965,W2096093282,first,Torsten Seemann,1,0
A5025640090,W2141052558,first,Alexandros Stamatakis,1,0
A5027039912,W2131271579,first,Anthony M. Bolger,1,0
A5068353394,W2131271579,middle,Marc Lohse,0,1
A5011858960,W2131271579,last,Bjoern Usadel,0,2
A5022244006,W2138207763,first,Yang Liao,1,0
A5054704071,W2138207763,middle,Gordon K. Smyth,0,1
A5076240767,W2138207763,last,Wei Shi,0,2
A5046781938,W2128880918,first,Matthew Kearse,1,0
A5022923330,W2128880918,middle,Richard Moir,0,1
A5033023543,W2128880918,middle,Amy Wilson,0,2
A5056633769,W2128880918,middle,Steven Stones-Havas,0,3
A5112601052,W2128880918,middle,Matthew Cheung,0,4
A5076410128,W2128880918,middle,Shane Sturrock,0,5
A5033252568,W2128880918,middle,Simon Buxton,0,6
A5110792587,W2128880918,middle,Alex Cooper,0,7
A5003452560,W2128880918,middle,Sidney Markowitz,0,8
A5042879860,W2128880918,middle,Chris Duran,0,9
A5031270105,W2128880918,middle,Tobias Thierer,0,10
A5078003144,W2128880918,middle,Bruce Ashton,0,11
A5020597078,W2128880918,middle,Peter Meintjes,0,12
A5079724732,W2128880918,last,Alexei Drummond,0,13
A5019977651,W2169456326,first,Alexander Dobin,1,0
A5111593857,W2169456326,middle,Carrie A. Davis,0,1
A5029421561,W2169456326,middle,Felix Schlesinger,0,2
A5111957142,W2169456326,middle,Jorg Drenkow,0,3
A5027700148,W2169456326,middle,Chris Zaleski,0,4
A5071496329,W2169456326,middle,Sonali Jha,0,5
A5026426674,W2169456326,middle,Philippe Batut,0,6
A5026460408,W2169456326,middle,Mark Chaisson,0,7
A5067538373,W2169456326,last,Thomas R. Gingeras,0,8
A5038201103,W2149992227,first,Petr Danecek,0,0
A5047245152,W2149992227,middle,Adam Auton,0,1
A5078559681,W2149992227,middle,Goncalo Abecasis,0,2
A5039983345,W2149992227,middle,Cornelis A. Albers,0,3
A5029475781,W2149992227,middle,Eric Banks,0,4
A5055476069,W2149992227,middle,Mark A. DePristo,0,5
A5054867399,W2149992227,middle,Robert E. Handsaker,0,6
A5062526316,W2149992227,middle,Gerton Lunter,0,7
A5000369565,W2149992227,middle,Gabor T. Marth,0,8
A5085914713,W2149992227,middle,Stephen T. Sherry,0,9
A5000481707,W2149992227,middle,Gilean McVean,0,10
A5082040351,W2149992227,middle,Richard Durbin,1,11
W2149992227-person-12,W2149992227,last,1000 Genomes Project Analysis Group,0,12
A5079803961,W2102619694,first,Aaron R. Quinlan,1,0
A5026920706,W2102619694,last,Ira M. Hall,0,1
A5077667471,W2124351063,first,Robert C. Edgar,1,0
A5029455059,W2114104545,first,Mark D. Robinson,1,0
A5034469657,W2114104545,middle,Davis J. McCarthy,0,1
A5054704071,W2114104545,last,Gordon K. Smyth,0,2
A5030402857,W2154845780,first,P. Librado,1,0
A5101768262,W2154845780,last,J. Rozas,0,1
A5100338825,W2103441770,first,Heng Li,1,0
A5082040351,W2103441770,last,Richard Durbin,0,1
A5100338825,W2108234281,first,Heng Li,1,0
A5054867399,W2108234281,middle,Bob Handsaker,0,1
A5090190126,W2108234281,middle,Alec Wysoker,0,2
A5057927341,W2108234281,middle,Tim Fennell,0,3
A5088950998,W2108234281,middle,Jue Ruan,0,4
A5090073148,W2108234281,middle,Nils Homer,0,5
A5000369565,W2108234281,middle,Gabor Marth,0,6
A5078559681,W2108234281,middle,Goncalo Abecasis,0,7
A5082040351,W2108234281,middle,Richard Durbin,0,8
W2108234281-person-9,W2108234281,last,1000 Genome Project Data Processing Subgroup,0,9
A5044561793,W2137015675,first,M.A. Larkin,1,0
A5041987677,W2137015675,middle,G. Blackshields,0,1
A5021921687,W2137015675,middle,N.P. Brown,0,2
W2137015675-person-3,W2137015675,middle,R. Chenna,0,3
A5062243310,W2137015675,middle,P.A. McGettigan,0,4
A5084942657,W2137015675,middle,H. McWilliam,0,5
A5002029117,W2137015675,middle,F. Valentin,0,6
A5072254414,W2137015675,middle,I.M. Wallace,0,7
A5036376802,W2137015675,middle,A. Wilm,0,8
A5018972787,W2137015675,middle,R. Lopez,0,9
A5039921905,W2137015675,middle,J.D. Thompson,0,10
A5004328524,W2137015675,middle,T.J. Gibson,0,11
A5090607558,W2137015675,last,D.G. Higgins,0,12
A5025640090,W2168696662,first,Alexandros Stamatakis,1,0
A5048208979,W2146058063,first,Fredrik Ronquist,1,0
A5068909032,W2146058063,last,John P. Huelsenbeck,0,1
A5068909032,W2161444534,first,John P. Huelsenbeck,1,0
A5048208979,W2161444534,last,Fredrik Ronquist,0,1
A5042649313,W2082928585,first,D Posada,1,0
A5046615539,W2082928585,last,K A Crandall,0,1
A5079054289,W1964435302,first,Colin B. Begg,1,0
A5001732927,W1964435302,last,Madhuchhanda Mazumdar,0,1
A5071955362,W2328176404,first,Elizabeth R. DeLong,1,0
A5109209191,W2328176404,middle,David M. DeLong,0,1
A5108455151,W2328176404,last,Daniel L. Clarke-Pearson,0,2
A5112771077,W1594031697,first,A. D. Gordon,1,0
A5039125390,W1594031697,middle,L. Breiman,0,1
A5020427483,W1594031697,middle,J. H. Friedman,0,2
A5068820196,W1594031697,middle,R. A. Olshen,0,3
A5002401862,W1594031697,last,C. J. Stone,0,4
A5109908960,W2141088880,first,A. W. F. Edwards,1,0
A5040712204,W2141088880,last,D. S. Falconer,0,1
A5052609076,W2164777277,first,J. Richard Landis,1,0
A5108081836,W2164777277,last,Gary G. Koch,0,1
A5055644402,W2092713296,first,David B. Duncan,1,0
A5076177583,W2097580026,first,PETER C. B. PHILLIPS,1,0
A5017831058,W2097580026,last,PIERRE PERRON,0,1
A5113580399,W2149860264,first,KUNG-YEE LIANG,1,0
A5000968299,W2149860264,last,SCOTT L. ZEGER,0,1
A5103599799,W2150291618,first,PAUL R. ROSENBAUM,1,0
A5071941451,W2150291618,last,DONALD B. RUBIN,0,1
A5035867888,W2168745915,first,S. S. SHAPIRO,1,0
A5057711739,W2168745915,last,M. B. WILK,0,1
A5013181401,W2008708467,first,Wolfgang Kabsch,1,0
A5010965658,W2008708467,last,Christian Sander,0,1
A5004945875,W2159707944,first,Sonja Hänzelmann,0,0
A5071137998,W2159707944,middle,Robert Castelo,0,1
A5080308005,W2159707944,last,Justin Guinney,1,2
A5100374493,W1999574084,first,Bo Li,1,0
A5032698492,W1999574084,last,Colin N Dewey,0,1
A5064004959,W2142678478,first,Christiam Camacho,1,0
A5022867589,W2142678478,middle,George Coulouris,0,1
A5058039273,W2142678478,middle,Vahram Avagyan,0,2
A5103281519,W2142678478,middle,Ning Ma,0,3
A5021448822,W2142678478,middle,Jason Papadopoulos,0,4
A5035049472,W2142678478,middle,Kevin Bealer,0,5
A5064872013,W2142678478,last,Thomas L Madden,0,6
A5008135470,W1966327575,first,Peter Langfelder,1,0
