id,type,source,target,publication_id,person_id,author_position,is_corresponding,sort_order
authored_by:publication:W4385245566->person:W4385245566-person-2,authored_by,publication:W4385245566,person:W4385245566-person-2,W4385245566,W4385245566-person-2,middle,0,2
authored_by:publication:W4385245566->person:W4385245566-person-3,authored_by,publication:W4385245566,person:W4385245566-person-3,W4385245566,W4385245566-person-3,middle,0,3
authored_by:publication:W4385245566->person:W4385245566-person-4,authored_by,publication:W4385245566,person:W4385245566-person-4,W4385245566,W4385245566-person-4,middle,0,4
authored_by:publication:W4385245566->person:W4385245566-person-5,authored_by,publication:W4385245566,person:W4385245566-person-5,W4385245566,W4385245566-person-5,middle,0,5
authored_by:publication:W4385245566->person:W4385245566-person-6,authored_by,publication:W4385245566,person:W4385245566-person-6,W4385245566,W4385245566-person-6,middle,0,6
authored_by:publication:W4385245566->person:W4385245566-person-7,authored_by,publication:W4385245566,person:W4385245566-person-7,W4385245566,W4385245566-person-7,middle,0,7
authored_by:publication:W4385245566->person:W4385245566-person-8,authored_by,publication:W4385245566,person:W4385245566-person-8,W4385245566,W4385245566-person-8,last,0,8
authored_by:publication:W2964121744->person:W2964121744-person-0,authored_by,publication:W2964121744,person:W2964121744-person-0,W2964121744,W2964121744-person-0,first,1,0
authored_by:publication:W2964121744->person:W2964121744-person-1,authored_by,publication:W2964121744,person:W2964121744-person-1,W2964121744,W2964121744-person-1,last,0,1
authored_by:publication:W2965373594->person:A5019081674,authored_by,publication:W2965373594,person:A5019081674,W2965373594,A5019081674,first,1,0
authored_by:publication:W2965373594->person:A5076248976,authored_by,publication:W2965373594,person:A5076248976,W2965373594,A5076248976,middle,0,1
authored_by:publication:W2965373594->person:W2965373594-person-2,authored_by,publication:W2965373594,person:W2965373594-person-2,W2965373594,W2965373594-person-2,middle,0,2
authored_by:publication:W2965373594->person:A5006191011,authored_by,publication:W2965373594,person:A5006191011,W2965373594,A5006191011,middle,0,3
authored_by:publication:W2965373594->person:A5108202364,authored_by,publication:W2965373594,person:A5108202364,W2965373594,A5108202364,middle,0,4
authored_by:publication:W2965373594->person:A5051064208,authored_by,publication:W2965373594,person:A5051064208,W2965373594,A5051064208,middle,0,5
authored_by:publication:W2965373594->person:A5024311574,authored_by,publication:W2965373594,person:A5024311574,W2965373594,A5024311574,last,0,6
authored_by:publication:W2896457183->person:W2896457183-person-0,authored_by,publication:W2896457183,person:W2896457183-person-0,W2896457183,W2896457183-person-0,first,1,0
authored_by:publication:W2896457183->person:W2896457183-person-1,authored_by,publication:W2896457183,person:W2896457183-person-1,W2896457183,W2896457183-person-1,last,0,1
authored_by:publication:W3165656738->person:W3165656738-person-0,authored_by,publication:W3165656738,person:W3165656738-person-0,W3165656738,W3165656738-person-0,first,1,0
authored_by:publication:W2139416101->person:A5110062251,authored_by,publication:W2139416101,person:A5110062251,W2139416101,A5110062251,first,1,0
authored_by:publication:W2139416101->person:A5088966095,authored_by,publication:W2139416101,person:A5088966095,W2139416101,A5088966095,middle,0,1
authored_by:publication:W2139416101->person:A5084108666,authored_by,publication:W2139416101,person:A5084108666,W2139416101,A5084108666,last,0,2
authored_by:publication:W4229954146->person:A5053050215,authored_by,publication:W4229954146,person:A5053050215,W4229954146,A5053050215,first,1,0
authored_by:publication:W4229954146->person:A5039896953,authored_by,publication:W4229954146,person:A5039896953,W4229954146,A5039896953,last,0,1
authored_by:publication:W2117178635->person:A5113931380,authored_by,publication:W2117178635,person:A5113931380,W2117178635,A5113931380,first,1,0
authored_by:publication:W2117178635->person:A5108774719,authored_by,publication:W2117178635,person:A5108774719,W2117178635,A5108774719,last,0,1
authored_by:publication:W2110603299->person:A5047040699,authored_by,publication:W2110603299,person:A5047040699,W2110603299,A5047040699,first,1,0
authored_by:publication:W2110603299->person:A5110206207,authored_by,publication:W2110603299,person:A5110206207,W2110603299,A5110206207,last,0,1
authored_by:publication:W1979575715->person:A5047040699,authored_by,publication:W1979575715,person:A5047040699,W1979575715,A5047040699,first,1,0
authored_by:publication:W2108818539->person:A5103455390,authored_by,publication:W2108818539,person:A5103455390,W2108818539,A5103455390,first,1,0
authored_by:publication:W3011865677->person:A5111995000,authored_by,publication:W3011865677,person:A5111995000,W3011865677,A5111995000,first,1,0
authored_by:publication:W3011865677->person:A5000234995,authored_by,publication:W3011865677,person:A5000234995,W3011865677,A5000234995,last,0,1
authored_by:publication:W2139122730->person:A5107928200,authored_by,publication:W2139122730,person:A5107928200,W2139122730,A5107928200,first,1,0
authored_by:publication:W2112352537->person:A5108206606,authored_by,publication:W2112352537,person:A5108206606,W2112352537,A5108206606,first,1,0
authored_by:publication:W2178225550->person:A5105834520,authored_by,publication:W2178225550,person:A5105834520,W2178225550,A5105834520,first,1,0
authored_by:publication:W2318680928->person:A5112823798,authored_by,publication:W2318680928,person:A5112823798,W2318680928,A5112823798,first,1,0
authored_by:publication:W2015930340->person:A5048382598,authored_by,publication:W2015930340,person:A5048382598,W2015930340,A5048382598,first,1,0
authored_by:publication:W1736209534->person:A5030084342,authored_by,publication:W1736209534,person:A5030084342,W1736209534,A5030084342,first,1,0
