id,display_name,orcid
A5058558119,Blaž Stres,https://orcid.org/0000-0003-2972-2907
A5037209090,Gerhard Thallinger,https://orcid.org/0000-0002-2864-5404
A5112877973,David J. Horn,
A5042231087,Carolyn F. Weber,
A5100417364,Qiong Wang,https://orcid.org/0000-0001-7798-1554
A5040654425,George M Garrity,https://orcid.org/0000-0002-4465-7034
A5041807449,James M. Tiedje,https://orcid.org/0000-0002-8992-6218
A5104055957,James R. Cole,
A5018563718,John Guckenheimer,https://orcid.org/0000-0001-6655-7862
A5053868357,Philip Holmes,https://orcid.org/0000-0002-1459-7157
A5074180547,Lenore Sawyer Radloff,
A5057810294,Ronald C. Kessler,https://orcid.org/0000-0003-4831-2305
A5109837280,Patricia A. Berglund,https://orcid.org/0000-0001-5952-6021
A5091746574,Olga Demler,https://orcid.org/0000-0003-3355-3210
A5111028468,Robert Jin,
A5027210624,Kathleen R. Merikangas,https://orcid.org/0000-0002-4667-2414
A5050152988,Ellen E. Walters,
A5059319052,Aaron T. Beck,https://orcid.org/0000-0001-6210-9528
A5078610104,Bernd Löwe,https://orcid.org/0000-0003-4220-3378
A5113665373,Frank C. Arnett,
A5016058561,Steven M. Edworthy,
A5056109933,D. Blöch,https://orcid.org/0000-0002-4535-5273
A5057650486,Dennis J. McShane,
A5060176647,James F. Fries,
A5029196051,Norman S. Cooper,
A5108446594,Louis A. Healey,
A5110261421,Stephen R. Kaplan,
A5113697433,Matthew H. Liang,
A5040789268,Harvinder S. Luthra,
A5112247165,Thomas A. Medsger,
A5004692457,Donald M. Mitchell,
A5057841798,David H. Neustadt,
A5048310567,Robert S. Pinals,
A5110213768,Jane G. Schaller,
A5038322725,John T. Sharp,https://orcid.org/0000-0002-7429-9047
A5111528130,Ronald L. Wilder,
A5008494496,Gene G. Hunder,https://orcid.org/0000-0002-1246-107X
W1485283179-person-0,"Massalski, Tadeusz B. 1926-",
A5113855519,Priscilla Robinson,
A5073193174,Albert-Georg Lang,
A5035299523,Franz Faul,https://orcid.org/0000-0002-7158-2920
